Score	AlignLen	totalMFE	seedMFE	totalGC	totalAU	totalGU	totalGaps	totalMismatches	seedGC	seedAT	seedGU	seedGaps	seedMismatches	Pos_1	Pos_2	Pos_3	Pos_4	Pos_5	Pos_6	Pos_7	Pos_8	Pos_9	Pos_10	Pos_11	Pos_12	Pos_13	Pos_14	Pos_15	Pos_16	Pos_17	Pos_18	Pos_19	Pos_20	Class
149.000000	18	6.67	 1.20	6	8	0	1	5	4	3	0	0	0	2	2	1	1	2	1	1	2	4	1	2	5	5	5	2	2	2	5	1	5	Target
146.000000	19	7.40	 1.20	6	7	2	4	1	4	3	0	0	0	5	2	1	1	2	1	1	2	1	4	4	1	3	2	4	4	2	2	3	2	Target
141.000000	20	9.20	 0.70	4	11	1	3	1	4	2	0	0	1	2	5	1	1	2	1	1	2	4	3	2	2	2	4	4	2	2	2	2	2	Target
168.000000	19	7.70	-2.00	7	8	0	0	5	4	3	0	0	0	5	1	2	1	1	2	2	1	2	2	1	5	5	2	1	2	5	2	5	1	Target
159.000000	20	11.60	-2.00	6	8	0	1	5	4	3	0	0	0	5	1	2	1	1	2	2	1	2	2	5	5	5	5	1	2	2	4	2	1	Target
157.000000	18	11.90	-2.00	6	7	4	1	2	4	3	0	0	0	2	1	2	1	1	2	2	1	4	2	3	3	2	3	1	5	2	3	1	5	Target
152.000000	11	15.80	-2.00	7	4	3	0	6	4	3	0	0	0	5	1	2	1	1	2	2	1	3	2	3	1	5	5	1	5	5	5	3	1	Target
151.000000	18	9.00	-2.00	6	6	1	0	7	4	3	0	0	0	5	1	2	1	1	2	2	1	5	5	5	5	2	2	1	3	2	5	1	5	Target
154.000000	17	8.20	 1.20	4	9	1	0	6	4	3	0	0	0	2	2	1	1	2	1	1	2	5	5	2	2	5	2	2	5	3	2	5	5	Target
144.000000	19	6.80	-3.40	4	9	3	0	4	3	3	1	0	0	2	2	1	1	2	3	1	2	5	1	2	2	5	2	5	5	2	2	3	3	Target
147.000000	22	6.40	-3.40	4	8	4	3	1	3	3	1	0	0	3	2	1	1	2	3	1	2	1	3	2	2	4	4	4	2	2	5	2	3	Target
141.000000	15	9.70	 0.70	5	8	1	0	6	4	2	0	0	1	2	5	1	1	2	1	1	2	1	5	2	5	2	2	5	2	2	5	3	5	Target
144.000000	19	11.20	-1.70	6	7	3	0	4	4	2	1	0	0	2	1	2	1	1	3	2	1	2	5	5	3	3	5	5	2	2	2	1	1	Target
142.000000	9	8.42	 1.20	5	5	1	0	9	4	3	0	0	0	2	2	1	1	2	1	1	2	5	1	5	5	5	5	2	5	5	3	5	5	Target
140.000000	7	12.60	 1.20	4	6	4	0	6	4	3	0	0	0	2	2	1	1	2	1	1	2	5	3	3	5	5	5	5	2	2	3	5	3	Target
146.000000	20	10.30	 1.20	6	5	4	2	3	4	3	0	0	0	3	2	1	1	2	1	1	2	4	4	1	1	3	2	5	5	5	2	3	3	Target
162.000000	19	11.40	 1.20	7	7	3	1	2	4	3	0	0	0	3	2	1	1	2	1	1	2	4	1	3	5	2	2	3	2	2	5	1	1	Target
158.000000	17	6.70	 1.20	4	8	3	0	5	4	3	0	0	0	3	2	1	1	2	1	1	2	5	3	2	5	2	2	2	5	2	3	5	5	Target
151.000000	10	9.24	 1.20	6	6	2	0	6	4	3	0	0	0	3	2	1	1	2	1	1	2	1	3	2	5	5	5	2	5	5	2	1	5	Target
161.000000	21	4.00	-2.00	6	9	1	3	1	4	3	0	0	0	2	1	2	1	1	2	2	1	1	4	4	2	5	3	2	2	1	2	4	2	Target
161.000000	18	8.40	-2.00	7	8	1	1	3	4	3	0	0	0	2	1	2	1	1	2	2	1	1	4	1	1	2	2	3	5	5	2	2	5	Target
154.000000	18	10.00	-2.00	8	6	0	4	2	4	3	0	0	0	5	1	2	1	1	2	2	1	1	4	4	4	4	2	1	1	2	2	1	5	Target
152.000000	11	13.60	-2.00	6	5	2	0	7	4	3	0	0	0	2	1	2	1	1	2	2	1	1	2	3	3	5	5	1	5	5	5	5	5	Target
145.000000	18	6.70	-2.00	5	8	3	1	3	3	3	1	0	0	3	3	2	1	1	2	2	1	1	5	1	5	2	2	3	2	4	2	2	5	Target
140.000000	7	8.70	-2.00	5	4	1	4	6	4	3	0	0	0	2	1	2	1	1	2	2	1	5	5	5	1	3	5	5	5	4	4	4	4	Target
145.000000	8	10.70	 1.20	6	4	1	0	9	4	3	0	0	0	3	2	1	1	2	1	1	2	1	5	5	5	5	5	2	5	5	5	5	1	Target
160.000000	20	5.10	-3.00	8	8	0	3	1	3	4	0	0	0	1	2	2	2	1	2	1	1	2	4	2	1	4	4	2	1	1	2	5	1	Target
166.000000	20	-3.50	-3.00	8	8	0	2	2	3	4	0	0	0	1	2	2	2	1	2	1	1	2	2	2	4	4	1	2	5	1	5	1	1	Target
164.000000	21	6.10	-3.00	7	7	1	1	4	3	4	0	0	0	5	2	2	2	1	2	1	1	5	3	5	1	2	1	4	2	1	1	2	5	Target
145.000000	12	5.20	-0.60	3	8	4	0	5	2	4	1	0	0	5	2	2	2	3	2	1	1	3	2	2	1	2	5	3	5	5	2	3	5	Target
161.000000	19	5.30	-3.00	9	6	2	2	1	3	4	0	0	0	1	2	2	2	1	2	1	1	2	4	4	1	5	1	3	1	1	2	1	3	Target
147.000000	24	-7.00	 0.30	4	7	1	4	4	2	5	0	0	0	5	2	1	2	2	2	1	2	2	5	5	4	4	4	1	2	4	3	5	1	Target
181.000000	22	10.80	-3.50	6	10	1	0	3	3	4	0	0	0	5	2	2	1	1	1	2	2	2	1	1	3	2	1	2	2	5	2	5	2	Target
164.000000	24	9.20	-3.50	7	7	0	3	3	3	4	0	0	0	5	2	2	1	1	1	2	2	2	1	1	5	5	1	4	4	2	2	1	4	Target
159.000000	14	12.70	-3.50	5	7	2	0	6	3	4	0	0	0	2	2	2	1	1	1	2	2	3	3	1	5	2	1	2	5	5	5	5	5	Target
160.000000	15	8.50	-3.50	5	8	1	0	6	3	4	0	0	0	2	2	2	1	1	1	2	2	5	1	5	3	2	1	2	2	5	5	5	5	Target
154.000000	19	6.50	-3.50	4	10	2	1	3	3	4	0	0	0	2	2	2	1	1	1	2	2	5	3	3	4	2	1	2	2	5	2	5	2	Target
145.000000	18	6.90	-6.90	8	4	1	1	6	5	2	0	0	0	5	2	1	2	1	1	1	1	4	2	5	5	2	5	1	3	1	5	1	5	Target
160.000000	19	9.70	-2.00	7	7	0	0	6	4	3	0	0	0	5	1	2	1	1	2	2	1	5	2	1	5	5	2	1	2	5	2	5	1	Target
158.000000	19	10.50	-2.00	7	7	1	1	4	4	3	0	0	0	5	1	2	1	1	2	2	1	1	5	5	5	2	2	1	3	2	4	2	1	Target
153.000000	19	8.60	-2.00	6	8	0	2	4	4	3	0	0	0	5	1	2	1	1	2	2	1	5	2	4	4	2	2	1	5	5	2	2	1	Target
152.000000	17	10.20	-2.00	5	7	4	1	3	4	3	0	0	0	2	1	2	1	1	2	2	1	3	2	3	4	2	3	1	5	2	3	5	5	Target
148.000000	11	17.20	-2.00	7	5	1	0	7	4	3	0	0	0	5	1	2	1	1	2	2	1	5	2	3	1	5	5	1	5	5	5	2	1	Target
146.000000	19	8.50	-2.00	7	7	3	1	2	3	3	1	0	0	2	1	2	1	1	2	2	3	1	5	1	1	2	4	3	2	5	3	2	1	Target
141.000000	10	6.90	-6.90	6	3	1	1	9	5	2	0	0	0	5	2	1	2	1	1	1	1	4	2	1	5	5	5	5	3	5	5	5	5	Target
146.000000	9	6.90	-6.90	6	4	1	0	9	5	2	0	0	0	5	2	1	2	1	1	1	1	3	2	5	5	5	5	1	2	5	5	5	5	Target
153.000000	24	3.60	-2.80	4	9	1	4	2	3	4	0	0	0	5	2	2	1	2	1	2	1	2	5	4	2	1	3	2	4	4	4	2	2	Target
153.000000	16	11.80	-2.80	4	9	2	0	5	3	4	0	0	0	2	2	2	1	2	1	2	1	5	5	2	3	3	2	2	5	1	5	5	2	Target
152.000000	19	6.70	-2.80	4	10	2	3	1	3	4	0	0	0	2	2	2	1	2	1	2	1	2	4	4	4	3	3	2	2	5	1	2	2	Target
150.000000	23	7.50	-2.80	6	9	0	4	1	3	4	0	0	0	2	2	2	1	2	1	2	1	5	4	4	1	2	1	1	2	4	4	2	2	Target
148.000000	13	6.80	-2.80	5	7	0	1	7	3	4	0	0	0	2	2	2	1	2	1	2	1	2	5	4	2	1	1	5	5	5	5	5	5	Target
147.000000	14	7.00	-2.80	3	8	3	0	6	3	4	0	0	0	2	2	2	1	2	1	2	1	2	5	3	3	3	5	2	5	5	5	5	2	Target
141.000000	14	5.70	-2.80	4	6	1	1	8	3	4	0	0	0	5	2	2	1	2	1	2	1	5	5	2	4	3	1	2	5	5	5	5	5	Target
158.000000	20	1.00	 1.30	4	10	2	2	2	2	5	0	0	0	2	2	2	2	2	1	2	1	5	1	5	3	3	4	4	2	2	2	2	1	Target
153.000000	20	7.50	 1.30	6	8	0	2	4	2	5	0	0	0	5	2	2	2	2	1	2	1	5	4	1	2	1	1	4	2	5	2	1	5	Target
149.000000	20	7.20	 1.30	4	9	0	3	4	2	5	0	0	0	5	2	2	2	2	1	2	1	5	5	4	4	4	2	1	1	2	2	5	2	Target
149.000000	20	6.10	 1.30	4	10	0	3	3	2	5	0	0	0	2	2	2	2	2	1	2	1	4	4	4	1	5	2	5	1	2	2	5	2	Target
148.000000	13	6.00	 1.30	5	7	1	1	6	2	5	0	0	0	2	2	2	2	2	1	2	1	5	1	4	2	1	1	5	5	5	3	5	5	Target
145.000000	18	3.20	 1.30	4	9	3	1	3	1	5	1	0	0	3	2	2	2	2	1	2	3	1	4	2	1	1	5	2	2	5	3	2	5	Target
143.000000	14	4.40	 1.30	3	8	2	0	7	2	5	0	0	0	2	2	2	2	2	1	2	1	5	5	3	3	5	2	2	5	5	1	5	5	Target
165.000000	18	4.50	 1.30	7	9	0	1	3	2	5	0	0	0	2	2	2	2	2	1	2	1	1	1	5	1	1	2	5	4	2	1	2	5	Target
164.000000	19	5.20	 1.30	4	11	1	0	4	2	5	0	0	0	2	2	2	2	2	1	2	1	5	5	5	1	1	2	2	2	5	3	2	2	Target
157.000000	18	4.40	 1.30	3	10	2	1	4	2	5	0	0	0	5	2	2	2	2	1	2	1	5	4	2	3	3	2	5	2	2	1	2	5	Target
147.000000	16	6.80	-0.60	5	9	1	1	4	2	4	1	0	0	5	2	2	3	2	1	2	1	5	4	1	2	1	1	2	2	2	5	5	2	Target
146.000000	13	8.50	-0.60	5	7	1	0	7	2	4	1	0	0	2	2	2	3	2	1	2	1	5	1	2	1	1	2	5	5	5	5	5	5	Target
146.000000	17	7.60	 1.30	4	8	2	3	3	2	5	0	0	0	5	2	2	2	2	1	2	1	4	4	4	3	1	5	2	2	2	1	5	3	Target
143.000000	16	1.00	 1.30	3	9	2	1	5	2	5	0	0	0	2	2	2	2	2	1	2	1	5	5	5	3	1	4	2	2	2	5	3	5	Target
142.000000	21	8.10	-0.60	5	7	3	2	3	2	4	1	0	0	5	2	2	3	2	1	2	1	5	4	1	2	1	1	2	5	2	4	3	3	Target
140.000000	7	-3.60	 1.30	3	8	0	0	9	2	5	0	0	0	5	2	2	2	2	1	2	1	5	5	5	5	1	5	2	5	2	5	2	5	Target
171.000000	20	7.10	 1.30	7	9	1	1	2	2	5	0	0	0	2	2	2	2	2	1	2	1	1	1	3	1	1	2	5	4	2	1	2	5	Target
168.000000	19	8.80	 1.30	4	11	2	0	3	2	5	0	0	0	2	2	2	2	2	1	2	1	5	5	3	1	1	2	2	2	5	3	2	2	Target
160.000000	20	4.60	 1.30	3	11	1	4	1	2	5	0	0	0	5	2	2	2	2	1	2	1	4	4	4	4	3	2	2	2	2	1	2	2	Target
151.000000	23	8.40	 1.30	3	9	3	3	2	2	5	0	0	0	2	2	2	2	2	1	2	1	5	5	3	3	1	4	2	2	2	4	4	3	Target
147.000000	18	4.90	 1.30	4	8	0	0	8	2	5	0	0	0	5	2	2	2	2	1	2	1	5	5	1	5	1	5	2	5	2	5	2	5	Target
146.000000	17	-5.70	 1.30	4	8	2	3	3	2	5	0	0	0	5	2	2	2	2	1	2	1	4	4	4	3	1	5	2	2	2	1	5	3	Target
144.000000	22	5.40	 0.30	4	7	4	2	3	2	4	1	0	0	3	2	2	2	2	1	3	1	5	5	1	3	3	2	4	4	2	2	5	1	Target
143.000000	20	9.02	-0.60	6	8	1	1	4	2	4	1	0	0	2	2	2	3	2	1	2	1	5	1	5	1	1	2	5	4	2	1	5	2	Target
140.000000	22	15.30	-0.60	5	5	4	2	4	2	4	1	0	0	5	2	2	3	2	1	2	1	4	4	1	5	1	1	5	3	2	5	3	3	Target
172.000000	15	4.30	-2.00	7	8	0	0	5	4	3	0	0	0	5	1	2	1	1	2	2	1	2	2	1	2	5	2	1	2	5	5	5	1	Target
161.000000	16	5.20	-2.00	6	8	0	0	6	4	3	0	0	0	5	1	2	1	1	2	2	1	2	2	5	2	5	5	1	2	2	5	5	1	Target
158.000000	19	4.60	-2.00	6	8	1	1	4	4	3	0	0	0	5	1	2	1	1	2	2	1	5	5	5	2	2	2	1	3	2	4	2	1	Target
152.000000	17	3.80	-2.00	6	7	2	1	4	4	3	0	0	0	2	1	2	1	1	2	2	1	5	2	3	2	3	4	1	5	2	1	5	5	Target
147.000000	10	10.00	-2.00	6	5	2	0	7	4	3	0	0	0	5	1	2	1	1	2	2	1	3	2	3	5	5	5	1	5	5	5	2	1	Target
140.000000	15	7.40	 1.40	4	7	3	0	6	1	5	1	0	0	1	2	1	2	2	2	2	3	5	2	3	5	3	1	2	1	5	5	5	5	Target
155.000000	10	4.20	 1.40	3	8	0	0	9	2	5	0	0	0	5	2	1	2	2	2	2	1	2	2	2	5	5	5	5	5	1	5	5	5	Target
153.000000	19	5.30	-3.90	7	8	0	2	3	3	4	0	0	0	2	1	1	2	2	1	2	2	2	5	1	2	4	4	1	1	5	5	2	1	Target
152.000000	19	12.20	-3.90	7	6	2	0	5	3	4	0	0	0	2	1	1	2	2	1	2	2	2	5	1	5	5	1	5	1	5	3	3	1	Target
140.000000	7	6.80	-3.90	3	7	1	0	9	3	4	0	0	0	2	1	1	2	2	1	2	2	5	5	5	2	5	5	3	5	5	5	2	5	Target
159.000000	20	11.10	-0.50	4	10	2	1	3	3	4	0	0	0	2	1	1	2	2	2	1	2	4	2	2	3	5	2	2	3	2	5	5	1	Target
140.000000	7	11.10	-0.50	4	5	4	0	7	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	5	3	5	5	3	5	1	5	3	3	Target
157.000000	16	8.70	 1.30	3	10	2	0	5	2	5	0	0	0	2	2	1	1	2	2	2	2	5	2	1	2	5	2	3	5	2	5	3	5	Target
140.000000	19	6.40	-1.20	6	6	3	0	5	2	4	1	0	0	3	2	1	1	2	3	2	2	1	5	5	5	1	5	1	5	2	1	3	2	Target
147.000000	20	4.90	 1.30	5	10	1	3	1	2	5	0	0	0	2	2	1	1	2	2	2	2	4	1	5	1	2	4	2	3	2	4	1	2	Target
143.000000	18	2.20	 1.30	5	9	1	2	3	2	4	1	0	0	5	2	1	1	2	2	2	3	4	2	5	2	1	2	1	4	2	2	1	5	Target
166.000000	20	5.00	-2.00	6	9	2	2	1	4	3	0	0	0	2	1	2	1	1	2	2	1	2	4	4	2	5	2	2	3	1	3	2	1	Target
164.000000	19	4.50	-2.00	7	7	3	0	3	4	3	0	0	0	2	1	2	1	1	2	2	1	2	5	3	3	2	5	1	3	2	1	5	1	Target
155.000000	16	4.30	-2.00	4	9	4	1	2	4	3	0	0	0	2	1	2	1	1	2	2	1	2	4	2	3	2	3	3	3	2	5	5	2	Target
142.000000	11	4.30	-2.00	4	6	3	1	6	4	3	0	0	0	5	1	2	1	1	2	2	1	4	2	2	3	5	5	3	3	5	2	5	5	Target
168.000000	19	4.80	 1.30	4	11	2	0	3	2	5	0	0	0	2	2	1	1	2	2	2	2	1	2	5	5	1	5	3	2	2	3	2	2	Target
147.000000	21	6.70	-1.20	6	7	1	2	4	2	4	1	0	0	5	2	1	1	2	3	2	2	1	5	4	4	1	2	1	2	1	5	2	5	Target
153.000000	20	4.50	 1.30	3	11	2	2	2	2	5	0	0	0	2	2	1	1	2	2	2	2	1	4	2	3	2	5	2	3	4	2	2	5	Target
149.000000	18	1.80	 1.30	3	10	2	1	4	2	5	0	0	0	2	2	1	1	2	2	2	2	5	2	3	2	5	4	2	3	2	5	1	5	Target
154.000000	20	2.24	 1.30	3	9	3	2	3	2	5	0	0	0	5	2	1	1	2	2	2	2	5	2	3	2	1	5	3	4	4	2	2	3	Target
140.000000	7	1.20	 1.30	2	8	0	0	10	2	5	0	0	0	5	2	1	1	2	2	2	2	5	5	5	5	5	5	5	5	2	5	2	2	Target
147.000000	14	4.90	 1.30	5	7	1	0	7	2	5	0	0	0	2	2	1	1	2	2	2	2	5	5	3	2	1	5	1	5	5	1	5	5	Target
140.000000	19	2.40	 1.30	4	10	1	2	3	2	4	1	0	0	5	2	1	1	2	2	2	3	4	2	1	5	1	2	4	2	2	5	2	2	Target
140.000000	19	1.90	 1.50	1	10	4	0	5	1	5	1	0	0	5	2	3	1	2	2	2	2	5	2	3	2	5	3	3	5	2	5	2	2	Target
140.000000	18	-7.50	 0.80	3	9	2	0	6	2	4	0	0	1	5	5	1	1	2	2	2	2	1	2	5	2	5	5	3	2	2	3	5	2	Target
140.000000	7	-6.80	 1.30	4	6	1	0	9	2	5	0	0	0	3	2	1	1	2	2	2	2	5	5	1	5	5	5	1	5	2	5	5	5	Target
148.000000	19	4.70	 1.30	4	9	1	0	6	2	5	0	0	0	2	2	1	1	2	2	2	2	5	5	5	5	1	2	5	5	2	1	2	3	Target
147.000000	12	3.70	 1.30	3	8	3	1	5	2	5	0	0	0	3	2	1	1	2	2	2	2	4	1	2	3	2	5	5	5	2	5	3	5	Target
146.000000	19	2.60	 1.30	4	9	3	1	3	2	4	1	0	0	5	2	1	1	2	2	2	3	1	2	3	4	2	5	5	3	2	2	1	2	Target
141.000000	21	6.60	 1.30	5	8	1	3	3	2	4	1	0	0	5	2	1	1	2	2	2	3	1	4	2	1	4	4	2	1	2	5	5	2	Target
140.000000	7	6.40	 1.30	3	7	1	0	9	2	5	0	0	0	5	2	1	1	2	2	2	2	5	5	1	5	5	5	5	5	2	3	2	5	Target
168.000000	19	7.90	 1.30	4	10	4	0	2	2	5	0	0	0	2	2	1	1	2	2	2	2	1	5	3	2	1	3	3	2	3	5	2	2	Target
153.000000	16	15.50	 1.30	3	9	3	0	5	2	5	0	0	0	2	2	1	1	2	2	2	2	5	5	3	2	1	3	5	2	2	5	3	5	Target
153.000000	20	5.60	-0.40	5	9	1	3	2	3	4	0	0	0	2	2	1	2	1	2	2	1	2	4	4	4	1	2	3	5	5	2	2	1	Target
149.000000	14	9.00	-0.40	3	8	4	1	4	3	4	0	0	0	2	2	1	2	1	2	2	1	4	3	2	3	2	3	2	5	5	5	3	5	Target
146.000000	17	11.00	-6.20	9	5	1	2	3	4	3	0	0	0	1	2	1	2	1	1	1	2	4	2	1	4	1	2	5	5	1	1	5	3	Target
166.000000	20	7.80	-1.60	7	7	4	2	0	3	4	0	0	0	3	2	2	1	2	1	2	1	3	1	4	4	1	2	3	2	1	2	1	3	Target
142.000000	9	7.10	-1.50	5	6	1	0	8	5	2	0	0	0	2	1	2	1	1	2	1	1	5	2	5	5	3	5	5	2	5	5	5	2	Target
158.000000	13	5.50	-4.50	5	8	1	0	6	3	4	0	0	0	2	2	1	2	1	1	2	2	1	5	2	1	3	2	5	5	5	5	2	5	Target
162.000000	17	9.60	-3.60	5	9	1	0	5	5	2	0	0	0	2	2	1	1	2	1	1	1	2	5	2	2	5	2	5	3	2	2	5	5	Target
157.000000	19	8.30	-3.60	6	8	1	2	3	5	2	0	0	0	5	2	1	1	2	1	1	1	4	4	3	2	1	2	2	5	2	2	5	2	Target
166.000000	17	11.40	-3.60	6	10	1	0	3	4	2	1	0	0	2	2	3	1	2	1	1	1	2	5	2	2	1	2	2	1	2	2	5	5	Target
153.000000	12	9.62	-3.60	8	4	1	0	7	5	2	0	0	0	5	2	1	1	2	1	1	1	2	3	5	2	1	5	5	1	5	5	1	5	Target
143.000000	22	11.10	-3.60	6	9	0	3	2	4	2	0	0	1	2	2	5	1	2	1	1	1	2	5	2	2	1	2	2	1	4	4	4	2	Target
142.000000	9	10.20	-3.60	8	2	0	0	10	5	2	0	0	0	5	2	1	1	2	1	1	1	5	1	5	5	1	5	5	5	5	5	1	5	Target
141.000000	10	10.90	-3.60	7	5	0	1	7	5	2	0	0	0	2	2	1	1	2	1	1	1	4	2	1	5	5	5	5	2	5	5	5	1	Target
146.000000	11	7.30	-2.50	4	6	1	1	8	3	4	0	0	0	5	1	1	2	2	1	2	2	2	4	2	1	5	3	5	5	5	5	5	5	Target
145.000000	19	10.90	-2.50	5	9	0	0	6	2	4	0	0	1	2	5	1	2	2	1	2	2	2	5	2	1	2	5	1	5	5	5	1	2	Target
141.000000	20	7.20	-2.50	4	4	6	0	6	3	4	0	0	0	5	1	1	2	2	1	2	2	5	3	5	5	5	5	1	3	3	3	3	3	Target
148.000000	15	11.50	-2.50	5	5	2	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	3	5	5	5	3	1	1	2	5	5	5	5	Target
140.000000	7	7.20	-2.50	4	4	4	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	5	3	5	5	5	1	5	5	3	3	3	5	Target
149.000000	16	6.00	-2.50	3	8	2	0	7	3	4	0	0	0	5	1	1	2	2	1	2	2	5	2	5	3	5	2	2	5	2	5	3	5	Target
144.000000	15	5.80	-2.50	5	5	3	0	7	3	4	0	0	0	5	1	1	2	2	1	2	2	5	5	1	3	5	2	5	1	5	3	3	5	Target
154.000000	20	10.10	-2.50	6	6	3	2	3	3	4	0	0	0	5	1	1	2	2	1	2	2	1	3	3	4	4	1	1	2	5	5	2	3	Target
146.000000	19	6.30	-2.20	6	7	5	1	1	3	3	1	0	0	2	1	1	3	2	1	2	2	5	3	3	1	1	2	2	4	1	2	3	3	Target
140.000000	7	5.80	-2.50	3	4	5	0	8	3	4	0	0	0	5	1	1	2	2	1	2	2	5	5	3	3	5	5	5	5	5	3	3	3	Target
158.000000	17	4.80	-0.40	4	11	0	0	5	3	4	0	0	0	2	2	1	2	1	2	2	1	2	5	2	1	5	5	2	2	5	2	5	2	Target
154.000000	19	6.80	-0.40	7	7	1	1	4	3	4	0	0	0	3	2	1	2	1	2	2	1	2	4	1	5	1	5	2	5	5	1	2	1	Target
163.000000	19	3.80	 1.30	6	11	0	3	0	3	4	0	0	0	2	1	2	1	2	1	2	2	2	4	4	1	2	1	2	2	2	4	2	1	Target
157.000000	19	12.50	-4.80	9	5	1	2	3	5	2	0	0	0	5	1	1	1	2	1	2	1	5	2	4	4	1	1	2	3	1	5	2	1	Target
146.000000	13	6.80	-4.80	9	2	1	0	8	5	2	0	0	0	3	1	1	1	2	1	2	1	5	5	1	5	1	1	5	5	1	5	5	5	Target
143.000000	21	5.50	-4.80	8	5	0	4	3	5	2	0	0	0	5	1	1	1	2	1	2	1	5	4	2	5	2	4	4	1	1	2	1	4	Target
142.000000	21	4.80	-3.90	10	3	1	2	4	5	1	1	0	0	5	1	1	1	3	1	2	1	5	2	1	5	1	1	4	2	4	1	1	5	Target
