Score	AlignLen	totalMFE	seedMFE	totalGC	totalAT	totalGT	totalGaps	totalMismatches	seedGC	seedAT	seedGT	seedGaps	seedMismatches	Pos_1	Pos_2	Pos_3	Pos_4	Pos_5	Pos_6	Pos_7	Pos_8	Pos_9	Pos_10	Pos_11	Pos_12	Pos_13	Pos_14	Pos_15	Pos_16	Pos_17	Pos_18	Pos_19	Pos_20	Class
140	7	-22.1	-19.3	4	4	1	0	11	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	5	5	5	5	5	5	2	3	5	5	Target
152	15	-29	-19.3	6	5	4	0	5	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	1	3	3	1	5	2	5	3	5	5	Target
150	24	-28.2	-18.6	6	6	1	5	2	3	4	0	0	0	5	1	2	1	2	2	1	2	1	4	4	4	4	2	1	1	3	5	4	2	Target
148	17	-23.8	-19.3	5	6	4	1	4	4	3	0	0	0	3	2	2	1	1	1	2	1	3	5	4	3	1	5	3	2	2	2	5	5	Target
146	15	-20.5	-19.3	6	5	2	1	6	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	1	5	3	2	5	2	5	5	3	5	Target
140	7	-23.4	-19.3	6	5	4	0	5	4	3	0	0	0	2	2	2	1	1	1	2	1	5	5	3	5	3	3	2	5	3	5	1	1	Target
140	7	-21.1	-19	4	6	1	0	9	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	2	5	5	5	5	3	5	5	1	5	Target
140	7	-16.5	-19	3	5	1	0	11	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	5	5	5	5	3	5	5	5	5	2	Target
151	20	-20	-18.6	6	7	0	1	6	3	4	0	0	0	5	1	2	1	2	2	1	2	1	5	5	5	1	5	2	5	1	2	4	2	Target
149	14	-23	-19.3	7	4	2	1	6	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	3	1	5	1	2	5	3	5	5	5	Target
140	7	-15.5	-18.6	3	4	3	0	10	3	4	0	0	0	5	1	2	1	2	2	1	2	5	5	3	5	5	3	5	5	5	5	5	3	Target
145	21	-30.7	-19.3	6	6	2	4	2	4	3	0	0	0	2	2	2	1	1	1	2	1	4	4	4	4	3	1	3	1	2	5	2	5	Target
142	17	-25	-19.3	6	6	2	0	6	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	3	5	2	5	5	5	2	1	5	1	Target
155	14	-28	-19.3	7	5	2	0	6	4	3	0	0	0	3	2	2	1	1	1	2	1	3	5	1	5	2	1	2	5	5	1	5	5	Target
143	17	-22.7	-19.3	5	6	3	2	4	4	3	0	0	0	3	2	2	1	1	1	2	1	5	5	1	3	4	4	2	2	2	3	5	5	Target
145	14	-25	-19.3	6	5	3	1	5	4	3	0	0	0	3	2	2	1	1	1	2	1	5	4	1	3	1	2	3	5	5	2	5	5	Target
144	13	-22.6	-19.3	5	4	3	1	7	4	3	0	0	0	5	2	2	1	1	1	2	1	3	4	1	3	3	2	5	5	5	5	5	5	Target
146	21	-28.8	-18.6	8	6	1	2	3	3	4	0	0	0	1	1	2	1	2	2	1	2	5	5	4	1	5	1	3	4	2	1	1	2	Target
140	7	-16.8	-18.6	4	5	1	0	10	3	4	0	0	0	5	1	2	1	2	2	1	2	5	5	1	5	5	5	5	5	5	2	5	3	Target
146	19	-20	-18.6	7	5	2	1	5	3	4	0	0	0	5	1	2	1	2	2	1	2	5	4	1	1	5	5	5	1	1	3	2	3	Target
156	17	-24.7	-19.3	7	6	3	1	3	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	1	4	2	1	2	2	3	3	1	5	Target
145	12	-21.6	-19.3	5	5	2	0	8	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	5	1	2	5	5	2	3	5	5	5	Target
147	12	-24	-19.3	6	4	2	1	7	4	3	0	0	0	5	2	2	1	1	1	2	1	3	4	1	1	2	5	5	5	5	3	5	5	Target
154	16	-28.5	-19.3	8	7	0	2	3	4	3	0	0	0	2	2	2	1	1	1	2	1	1	4	4	1	2	1	5	2	2	5	1	5	Target
153	18	-22.5	-19.3	8	5	1	1	5	4	3	0	0	0	5	2	2	1	1	1	2	1	3	4	1	5	1	5	1	2	2	5	1	5	Target
145	8	-30.2	-19.3	6	5	2	0	7	4	3	0	0	0	2	2	2	1	1	1	2	1	1	5	3	5	2	5	5	5	3	5	1	5	Target
146	9	-29.3	-19.3	7	5	1	0	7	4	3	0	0	0	2	2	2	1	1	1	2	1	3	1	5	5	5	1	5	5	2	1	5	5	Target
158	13	-23.3	-19	3	9	3	0	5	3	4	0	0	0	2	1	1	2	2	2	1	2	2	5	2	3	2	2	5	3	5	5	3	5	Target
155	18	-20.4	-19	6	7	0	0	7	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	5	1	2	2	1	5	5	2	1	5	Target
145	8	-18.8	-19	5	6	2	0	7	3	4	0	0	0	5	1	1	2	2	2	1	2	2	5	5	5	5	5	1	3	2	5	1	3	Target
170	17	-34.3	-19.3	8	7	1	0	4	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	1	1	5	1	2	2	2	1	5	5	Target
148	17	-23.4	-19.3	7	5	3	1	4	4	3	0	0	0	5	2	2	1	1	1	2	1	1	4	3	3	3	5	2	5	2	1	1	5	Target
142	13	-22.6	-19.3	5	4	3	0	8	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	5	3	2	3	5	5	5	5	1	5	Target
142	13	-23.7	-19.3	4	4	4	0	8	4	3	0	0	0	3	2	2	1	1	1	2	1	5	5	3	3	2	3	5	5	5	5	5	5	Target
140	7	-17.9	-18.6	3	4	2	0	11	3	4	0	0	0	5	1	2	1	2	2	1	2	5	5	5	5	5	5	5	5	5	5	3	3	Target
147	18	-21.3	-18.6	7	6	0	3	4	3	4	0	0	0	5	1	2	1	2	2	1	2	5	5	1	1	4	4	4	1	1	2	2	5	Target
145	19	-18.9	-18.6	6	7	0	2	5	3	4	0	0	0	5	1	2	1	2	2	1	2	5	4	4	2	1	5	1	5	2	5	1	2	Target
149	18	-22.1	-19.3	9	4	0	1	6	4	3	0	0	0	5	2	2	1	1	1	2	1	4	1	5	1	1	5	1	5	5	2	1	5	Target
148	17	-20.9	-19.3	7	5	1	1	6	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	1	1	4	3	2	2	5	1	5	5	Target
142	13	-25.1	-19.3	6	5	1	0	8	4	3	0	0	0	2	2	2	1	1	1	2	1	3	5	5	1	5	1	5	5	2	5	5	5	Target
164	19	-24.3	-18.6	6	7	3	0	4	3	4	0	0	0	5	1	2	1	2	2	1	2	5	2	5	5	1	3	2	1	1	2	3	3	Target
146	11	-22.6	-18.6	7	4	0	1	8	3	4	0	0	0	5	1	2	1	2	2	1	2	1	4	1	1	5	5	5	5	5	5	5	1	Target
140	7	-22.1	-19.3	4	6	2	0	8	4	3	0	0	0	2	2	2	1	1	1	2	1	5	5	5	3	5	3	5	2	2	5	5	5	Target
159	17	-29.8	-19.3	7	8	2	2	1	4	3	0	0	0	2	2	2	1	1	1	2	1	3	4	4	1	2	1	2	2	2	3	5	1	Target
148	15	-24.1	-19.3	6	6	1	0	7	4	3	0	0	0	3	2	2	1	1	1	2	1	5	5	1	5	2	5	2	2	5	5	1	5	Target
153	14	-29.4	-19.3	8	4	2	1	5	4	3	0	0	0	3	2	2	1	1	1	2	1	5	1	4	1	1	2	1	5	5	5	3	5	Target
150	13	-23.7	-19.3	9	3	1	0	7	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	1	1	5	1	5	5	5	1	1	5	Target
161	18	-23.3	-19	4	10	1	1	4	3	4	0	0	0	5	1	1	2	2	2	1	2	2	5	5	4	2	2	1	2	2	2	3	5	Target
144	16	-23.1	-19.3	7	7	0	4	2	4	3	0	0	0	5	2	2	1	1	1	2	1	4	4	4	4	2	1	2	2	2	5	1	1	Target
153	18	-20.5	-19.3	6	7	1	1	5	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	1	5	2	3	2	2	4	2	1	5	Target
151	14	-24.5	-19.3	6	5	2	0	7	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	5	1	2	3	2	5	5	1	5	5	Target
165	19	-27.8	-19.3	8	7	1	2	2	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	1	1	2	1	4	4	2	2	2	1	Target
150	17	-23.6	-19.3	8	4	0	0	8	4	3	0	0	0	5	2	2	1	1	1	2	1	5	1	1	5	5	1	5	5	2	1	5	5	Target
141	8	-21.3	-19.3	7	4	1	0	8	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	5	1	5	5	2	5	5	1	1	5	Target
146	13	-22.7	-19.3	8	3	0	0	9	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	1	1	5	1	5	5	5	1	5	5	Target
142	17	-22.1	-19.3	5	4	4	0	7	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	3	3	3	5	5	2	5	1	5	5	Target
148	11	-23.6	-19.3	7	4	1	0	8	4	3	0	0	0	5	2	2	1	1	1	2	1	5	1	3	1	5	5	5	5	2	5	1	5	Target
146	13	-21.5	-19.3	8	3	0	0	9	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	1	1	5	1	5	5	5	1	5	5	Target
147	20	-24.3	-19	4	9	1	1	5	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	4	2	1	5	2	5	5	2	2	3	Target
146	19	-24.5	-19	5	8	2	1	4	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	2	1	5	4	1	3	2	3	5	2	Target
162	17	-22.6	-19.3	7	6	1	0	6	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	1	5	2	1	2	2	5	1	5	5	Target
140	7	-22.1	-19.3	5	5	2	0	8	4	3	0	0	0	3	2	2	1	1	1	2	1	5	5	5	5	2	5	5	5	2	3	1	5	Target
166	20	-31.4	-16.9	8	8	0	2	2	3	4	0	0	0	1	2	2	2	1	2	1	1	2	2	2	4	4	1	2	5	1	5	1	1	Target
164	21	-25.3	-16.9	7	7	1	1	4	3	4	0	0	0	5	2	2	2	1	2	1	1	5	3	5	1	2	1	4	2	1	1	2	5	Target
165	16	-25	-19	4	8	4	0	4	3	4	0	0	0	5	1	1	2	2	2	1	2	2	2	3	3	2	5	1	2	3	5	3	5	Target
147	17	-20.3	-19	6	6	2	2	4	3	4	0	0	0	5	1	1	2	2	2	1	2	4	4	1	1	2	5	5	2	1	3	5	3	Target
142	24	-20.3	-19	5	7	0	5	3	3	4	0	0	0	5	1	1	2	2	2	1	2	4	4	4	4	2	5	1	1	2	4	2	5	Target
152	19	-18.1	-18.4	3	10	0	0	7	3	4	0	0	0	5	2	2	2	1	2	1	1	2	5	5	2	5	2	5	2	5	5	2	2	Target
154	16	-24.2	-19	4	10	1	2	3	3	4	0	0	0	2	1	1	2	2	2	1	2	2	4	4	2	2	5	2	2	1	5	5	3	Target
145	21	-24.8	-19	4	9	1	4	2	3	4	0	0	0	2	1	1	2	2	2	1	2	5	4	4	4	4	2	2	1	2	2	5	3	Target
142	9	-16.5	-19	3	6	0	0	11	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	5	5	5	5	5	5	5	2	5	5	Target
142	9	-22	-19	4	6	2	0	8	3	4	0	0	0	2	1	1	2	2	2	1	2	5	2	5	3	5	5	1	5	5	5	5	3	Target
140	7	-21.1	-19	4	7	1	0	8	3	4	0	0	0	3	1	1	2	2	2	1	2	5	5	2	5	5	5	1	5	5	2	5	2	Target
158	15	-22.2	-19	5	8	1	1	5	3	4	0	0	0	5	1	1	2	2	2	1	2	2	5	4	2	1	2	2	1	5	5	5	3	Target
153	19	-16.5	-19	3	11	0	2	4	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	2	4	4	2	5	2	2	2	5	2	Target
150	23	-20	-19	5	7	0	4	4	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	2	1	4	4	2	2	1	5	4	4	Target
151	19	-19.7	-19	4	10	1	3	2	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	4	4	2	1	2	2	3	4	2	2	Target
160	19	-19.3	-19	5	9	0	0	6	3	4	0	0	0	5	1	1	2	2	2	1	2	2	2	5	1	5	2	1	5	5	2	5	2	Target
151	21	-26.7	-19	3	10	2	2	3	3	4	0	0	0	2	1	1	2	2	2	1	2	5	4	4	2	2	3	5	2	5	3	2	2	Target
144	19	-19	-19	4	8	2	3	3	3	4	0	0	0	5	1	1	2	2	2	1	2	4	4	4	2	5	2	1	5	2	3	3	2	Target
140	7	-21.1	-19	4	6	3	0	7	3	4	0	0	0	3	1	1	2	2	2	1	2	5	5	5	1	5	5	5	3	2	5	3	2	Target
159	18	-22	-19	3	10	3	0	4	3	4	0	0	0	2	1	1	2	2	2	1	2	5	2	2	5	2	2	5	3	2	3	3	5	Target
140	7	-17.9	-19	3	6	1	0	10	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	2	5	5	5	5	2	5	3	5	5	Target
149	12	-17.2	-19	3	8	3	0	6	3	4	0	0	0	5	1	1	2	2	2	1	2	2	5	2	5	2	5	5	3	2	5	3	3	Target
147	18	-16.7	-19	5	7	0	0	8	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	5	1	2	5	5	2	2	5	1	5	Target
147	14	-21.9	-19	4	8	1	0	7	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	5	1	2	2	3	5	5	2	5	5	Target
144	21	-22.3	-19	5	8	1	4	2	3	4	0	0	0	2	1	1	2	2	2	1	2	4	4	4	2	2	5	1	5	2	1	3	4	Target
140	7	-16.5	-19	4	7	0	0	9	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	5	1	5	5	5	2	5	2	5	2	Target
145	8	-18.8	-19	3	5	3	0	9	3	4	0	0	0	5	1	1	2	2	2	1	2	2	5	5	3	5	5	5	3	5	5	3	5	Target
157	16	-17.2	-19	3	10	1	0	6	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	2	3	5	2	5	2	2	5	5	2	Target
140	7	-22	-19	4	7	1	0	8	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	5	5	2	5	3	2	5	5	1	5	Target
167	18	-22.1	-19	5	9	1	0	5	3	4	0	0	0	5	1	1	2	2	2	1	2	2	2	2	3	5	5	1	2	5	2	1	5	Target
145	8	-24.3	-19	4	7	0	0	9	3	4	0	0	0	2	1	1	2	2	2	1	2	2	5	5	5	5	5	5	5	2	5	1	5	Target
160	19	-19.1	-19	3	10	2	0	5	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	5	3	2	2	3	2	5	2	5	2	Target
147	10	-16.5	-19	3	8	1	0	8	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	2	5	5	5	5	3	2	2	5	5	Target
142	19	-20	-19	4	8	1	1	6	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	4	2	5	2	5	5	3	2	2	1	Target
145	8	-22.1	-19	3	6	4	0	7	3	4	0	0	0	3	1	1	2	2	2	1	2	2	5	5	3	5	5	5	3	2	5	3	5	Target
142	9	-16.7	-19	3	6	2	0	9	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	5	5	5	5	5	3	2	5	3	5	Target
141	22	-20.4	-19	4	8	1	3	4	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	5	4	1	4	2	2	3	2	2	4	Target
149	18	-23.2	-19	4	10	0	1	5	3	4	0	0	0	2	1	1	2	2	2	1	2	2	5	5	5	5	2	1	4	2	2	2	5	Target
165	20	-25.3	-19	5	10	1	2	2	3	4	0	0	0	5	1	1	2	2	2	1	2	2	5	4	2	1	4	2	2	1	3	2	2	Target
151	23	-23.94	-19	3	8	2	4	3	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	5	4	4	4	4	3	2	2	3	2	Target
147	10	-17.4	-19	3	7	2	0	8	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	2	5	5	5	5	5	2	3	5	3	Target
167	20	-26.4	-19	5	11	1	1	2	3	4	0	0	0	2	1	1	2	2	2	1	2	2	5	2	3	2	5	1	2	2	4	2	1	Target
144	19	-17.3	-19	3	9	0	0	8	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	5	5	5	2	5	5	2	2	5	2	Target
158	17	-20.7	-19	5	7	2	0	6	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	2	1	5	5	1	3	2	3	5	5	Target
146	19	-18.9	-19	6	7	0	1	6	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	2	1	5	5	1	4	2	5	1	2	Target
145	8	-16.9	-19	5	5	2	0	8	3	4	0	0	0	5	1	1	2	2	2	1	2	2	5	5	5	5	5	1	3	5	3	1	5	Target
142	15	-17.8	-19	5	7	0	1	7	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	2	4	2	5	1	2	5	5	1	5	Target
158	15	-26.7	-19	5	10	0	1	4	3	4	0	0	0	2	1	1	2	2	2	1	2	5	2	4	1	2	2	1	2	5	5	5	2	Target
145	8	-16.94	-19	3	7	1	0	9	3	4	0	0	0	5	1	1	2	2	2	1	2	2	5	5	5	5	5	5	2	5	2	3	5	Target
143	19	-17.8	-19	5	8	0	4	3	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	4	4	4	4	1	2	5	2	1	2	Target
147	23	-21.2	-19	4	8	1	4	3	3	4	0	0	0	5	1	1	2	2	2	1	2	4	4	4	4	2	5	2	1	2	2	3	5	Target
140	7	-21.1	-19	3	7	2	0	8	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	2	5	5	5	3	3	5	2	5	5	Target
149	12	-21.1	-19	4	9	0	0	7	3	4	0	0	0	2	1	1	2	2	2	1	2	5	2	2	5	2	5	5	2	5	5	1	5	Target
140	7	-21.1	-19	3	5	2	0	10	3	4	0	0	0	2	1	1	2	2	2	1	2	5	5	5	5	5	5	5	5	5	3	5	3	Target
145	8	-21.5	-19	4	7	1	0	8	3	4	0	0	0	2	1	1	2	2	2	1	2	2	5	5	5	5	2	1	5	5	5	5	3	Target
140	7	-16.2	-19	3	5	1	0	11	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	5	5	5	5	5	5	5	2	3	5	Target
155	20	-20.2	-19	5	8	1	1	5	3	4	0	0	0	5	1	1	2	2	2	1	2	2	5	2	1	5	4	2	1	3	5	2	5	Target
142	9	-16.97	-19	4	6	0	0	10	3	4	0	0	0	5	1	1	2	2	2	1	2	5	2	5	5	5	5	5	5	5	2	1	5	Target
140	7	-18.11	-19	3	5	2	0	10	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	5	5	5	5	5	3	2	3	5	5	Target
140	7	-16.5	-19	3	4	2	0	11	3	4	0	0	0	5	1	1	2	2	2	1	2	5	5	5	5	5	5	5	5	5	5	3	3	Target
150	9	-18.4	-19	4	7	1	0	8	3	4	0	0	0	5	1	1	2	2	2	1	2	2	2	5	5	5	5	5	3	5	2	1	5	Target
165	20	-28.4	-19	5	11	1	2	1	3	4	0	0	0	2	1	1	2	2	2	1	2	5	4	2	2	1	2	2	3	2	2	4	1	Target
146	24	-23.09	-19	4	10	0	5	1	3	4	0	0	0	2	1	1	2	2	2	1	2	2	4	4	4	4	2	4	2	5	2	2	1	Target
142	13	-22.6	-19.3	6	4	1	0	9	4	3	0	0	0	5	2	2	1	1	1	2	1	5	5	1	3	5	1	5	5	2	5	5	5	Target
144	13	-20.6	-18.6	6	4	2	1	7	3	4	0	0	0	5	1	2	1	2	2	1	2	5	4	1	1	1	3	5	5	5	5	5	3	Target
154	13	-28.9	-19.3	8	4	2	0	6	4	3	0	0	0	3	2	2	1	1	1	2	1	5	1	5	1	2	1	5	5	3	5	1	5	Target
148	17	-19.7	-19.3	5	6	3	1	5	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	3	4	2	3	2	2	5	1	5	5	Target
141	8	-23.2	-19.3	5	3	3	0	9	4	3	0	0	0	3	2	2	1	1	1	2	1	3	5	5	5	3	5	5	5	5	1	5	5	Target
149	12	-28.3	-19.3	7	5	0	0	8	4	3	0	0	0	2	2	2	1	1	1	2	1	1	5	5	1	2	5	5	5	5	1	5	5	Target
151	18	-25.8	-19.3	6	8	2	2	2	4	3	0	0	0	2	2	2	1	1	1	2	1	4	3	1	5	3	2	4	2	2	2	1	5	Target
150	17	-21.3	-19.3	5	5	4	0	6	4	3	0	0	0	5	2	2	1	1	1	2	1	3	5	3	5	2	1	5	2	3	3	5	5	Target
