Score	AlignLen	totalMFE	seedMFE	totalGC	totalAU	totalGU	totalGaps	totalMismatches	seedGC	seedAU	seedGU	seedGaps	seedMismatches	Pos_1	Pos_2	Pos_3	Pos_4	Pos_5	Pos_6	Pos_7	Pos_8	Pos_9	Pos_10	Pos_11	Pos_12	Pos_13	Pos_14	Pos_15	Pos_16	Pos_17	Pos_18	Pos_19	Pos_20	Class
140.000000	7	5.80	-3.70	5	4	0	0	11	4	3	0	0	0	5	2	1	1	2	1	1	2	5	5	5	5	5	5	5	2	5	1	5	5	Target
146.000000	19	4.90	-3.70	5	8	2	1	4	4	3	0	0	0	2	2	1	1	2	1	1	2	5	4	2	3	2	5	2	5	5	3	1	2	Target
155.000000	18	5.70	-3.70	7	6	1	0	6	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	2	1	5	2	5	2	5	1	1	5	Target
144.000000	18	8.70	-3.70	6	5	4	2	3	4	3	0	0	0	3	2	1	1	2	1	1	2	3	4	4	3	2	2	5	3	1	5	1	5	Target
170.000000	19	5.00	-3.70	7	9	0	1	3	4	3	0	0	0	5	2	1	1	2	1	1	2	2	2	4	2	1	2	2	5	2	1	5	1	Target
142.000000	20	4.90	-3.70	7	5	2	2	4	4	3	0	0	0	3	2	1	1	2	1	1	2	5	4	4	1	2	5	5	3	1	5	1	2	Target
142.000000	9	5.40	-3.70	4	5	0	0	11	4	3	0	0	0	5	2	1	1	2	1	1	2	5	2	5	5	5	5	5	2	5	5	5	5	Target
151.000000	20	4.90	-3.70	5	9	1	1	4	4	3	0	0	0	2	2	1	1	2	1	1	2	5	2	5	3	5	2	2	5	4	2	1	2	Target
151.000000	20	5.50	-3.70	5	9	1	1	4	4	3	0	0	0	2	2	1	1	2	1	1	2	2	5	4	2	5	2	5	2	3	5	2	1	Target
178.000000	19	5.00	-3.70	8	9	0	1	2	4	3	0	0	0	5	2	1	1	2	1	1	2	2	2	4	2	1	2	2	5	2	1	1	1	Target
142.000000	9	5.80	-3.70	5	5	0	0	10	4	3	0	0	0	5	2	1	1	2	1	1	2	5	2	5	5	5	5	5	2	5	1	5	5	Target
141.000000	19	5.80	-3.70	7	5	2	2	4	4	3	0	0	0	3	2	1	1	2	1	1	2	5	4	4	1	2	5	5	3	1	5	1	2	Target
147.000000	14	5.30	-3.70	5	7	1	0	7	4	3	0	0	0	2	2	1	1	2	1	1	2	5	2	5	3	5	2	2	5	5	1	5	5	Target
143.000000	12	6.20	-3.70	5	7	1	1	6	4	3	0	0	0	2	2	1	1	2	1	1	2	5	2	4	2	1	5	5	2	5	5	5	3	Target
141.000000	8	9.40	-3.70	4	3	1	0	12	4	3	0	0	0	5	2	1	1	2	1	1	2	3	5	5	5	5	5	5	5	5	5	5	5	Target
162.000000	19	7.40	-3.70	7	7	3	1	2	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	4	1	2	2	2	3	1	3	1	2	Target
154.000000	13	9.10	-3.70	5	6	1	0	8	4	3	0	0	0	5	2	1	1	2	1	1	2	2	2	5	1	5	2	5	3	5	5	5	5	Target
151.000000	21	10.10	-3.70	6	7	2	2	3	4	3	0	0	0	3	2	1	1	2	1	1	2	5	2	5	1	5	2	4	4	2	2	1	3	Target
151.000000	21	9.20	-3.70	6	6	2	2	4	4	3	0	0	0	5	2	1	1	2	1	1	2	5	3	5	1	5	2	4	4	2	2	1	3	Target
149.000000	18	6.40	-3.70	7	5	3	1	4	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	4	1	2	2	5	3	1	3	1	5	Target
149.000000	18	12.60	-3.70	6	5	4	1	4	4	3	0	0	0	5	2	1	1	2	1	1	2	5	3	4	3	2	5	2	3	1	3	1	5	Target
149.000000	18	5.10	-3.70	8	5	2	1	4	4	3	0	0	0	2	2	1	1	2	1	1	2	2	3	4	1	5	5	5	3	1	1	1	5	Target
147.000000	21	10.10	-3.70	6	7	1	2	4	4	3	0	0	0	2	2	1	1	2	1	1	2	4	4	2	2	5	1	5	5	5	2	1	3	Target
147.000000	18	7.90	-3.70	7	4	2	0	7	4	3	0	0	0	5	2	1	1	2	1	1	2	5	3	5	1	2	5	5	3	5	1	1	5	Target
146.000000	21	9.00	-3.70	6	7	2	2	3	4	3	0	0	0	2	2	1	1	2	1	1	2	5	4	3	2	1	5	5	4	2	2	1	3	Target
146.000000	21	6.80	-3.70	4	8	0	3	5	4	3	0	0	0	5	2	1	1	2	1	1	2	4	4	4	2	2	5	5	5	2	2	2	5	Target
144.000000	19	13.00	-3.70	6	6	2	0	6	4	3	0	0	0	2	2	1	1	2	1	1	2	5	3	5	5	5	2	5	3	5	1	1	2	Target
143.000000	20	9.20	-3.70	6	6	0	1	7	4	3	0	0	0	5	2	1	1	2	1	1	2	5	4	2	2	5	2	5	5	5	1	5	1	Target
143.000000	18	8.30	-3.70	7	4	1	0	8	4	3	0	0	0	5	2	1	1	2	1	1	2	5	5	5	1	5	2	5	3	5	1	1	5	Target
143.000000	12	7.90	-3.70	6	6	2	1	5	4	3	0	0	0	2	2	1	1	2	1	1	2	5	2	4	1	2	5	5	3	1	5	5	3	Target
142.000000	18	13.50	-3.70	5	8	4	1	2	4	2	0	0	1	2	5	1	1	2	1	1	2	2	3	3	4	2	2	2	3	1	3	5	2	Target
142.000000	21	5.80	-3.70	4	7	2	3	4	4	3	0	0	0	3	2	1	1	2	1	1	2	4	4	4	2	2	2	5	5	2	5	3	5	Target
142.000000	9	8.10	-3.70	4	5	1	0	10	4	3	0	0	0	2	2	1	1	2	1	1	2	5	2	5	5	5	5	5	3	5	5	5	5	Target
142.000000	19	7.30	-3.70	7	5	3	1	4	4	3	0	0	0	2	2	1	1	2	1	1	2	5	5	5	1	5	2	4	3	1	3	1	3	Target
141.000000	12	5.30	-3.70	5	4	3	0	8	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	5	1	2	5	5	3	5	5	5	3	Target
140.000000	7	7.90	-3.70	7	3	2	0	8	4	3	0	0	0	5	2	1	1	2	1	1	2	5	3	5	1	5	5	5	3	5	1	1	5	Target
140.000000	7	8.50	-3.70	7	3	3	0	7	4	3	0	0	0	3	2	1	1	2	1	1	2	5	3	5	1	5	5	5	3	5	1	1	5	Target
140.000000	11	5.60	-3.70	6	5	4	0	5	3	3	1	0	0	3	2	3	1	2	1	1	2	2	3	2	1	5	5	5	3	5	1	1	5	Target
140.000000	7	6.90	-3.70	6	3	2	0	9	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	5	1	5	5	5	3	5	1	5	5	Target
144.000000	11	8.00	-3.70	5	4	4	0	7	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	2	1	5	5	5	3	5	3	5	3	Target
142.000000	9	7.30	-3.70	6	4	2	0	8	4	3	0	0	0	5	2	1	1	2	1	1	2	5	2	5	5	5	5	5	3	5	1	1	3	Target
141.000000	17	-7.70	-3.70	5	7	1	4	3	4	3	0	0	0	5	2	1	1	2	1	1	2	4	4	4	4	2	2	2	2	5	1	5	3	Target
167.000000	18	7.90	-3.70	5	9	1	0	5	4	3	0	0	0	5	2	1	1	2	1	1	2	5	2	2	5	2	2	2	2	5	3	1	5	Target
159.000000	20	5.10	-3.70	5	9	2	1	3	4	3	0	0	0	2	2	1	1	2	1	1	2	2	5	5	3	2	2	2	4	2	1	3	5	Target
158.000000	17	-6.20	-3.70	5	7	2	0	6	4	3	0	0	0	5	2	1	1	2	1	1	2	2	2	3	5	5	2	2	5	1	3	5	5	Target
153.000000	19	5.10	-3.70	6	9	1	2	2	3	3	1	0	0	5	2	3	1	2	1	1	2	2	2	4	4	2	2	2	5	1	1	1	2	Target
142.000000	9	9.00	-3.70	5	4	4	0	7	4	3	0	0	0	5	2	1	1	2	1	1	2	3	3	5	5	2	5	5	3	5	1	5	3	Target
142.000000	19	8.90	-3.70	5	7	4	1	3	3	3	1	0	0	5	2	3	1	2	1	1	2	3	2	5	1	4	2	2	2	5	1	3	3	Target
162.000000	19	7.40	-3.70	7	7	3	1	2	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	4	1	2	2	2	3	1	3	1	2	Target
154.000000	20	5.00	-3.70	5	8	1	2	4	4	3	0	0	0	5	2	1	1	2	1	1	2	2	2	4	4	2	5	5	5	2	2	1	3	Target
153.000000	16	7.00	-3.70	5	7	3	0	5	4	3	0	0	0	2	2	1	1	2	1	1	2	2	3	5	3	5	2	5	2	1	5	5	3	Target
152.000000	19	10.10	-3.70	6	5	5	0	4	4	3	0	0	0	3	2	1	1	2	1	1	2	5	3	3	3	5	2	5	3	5	1	1	2	Target
151.000000	18	10.90	-3.70	6	5	4	0	5	4	3	0	0	0	3	2	1	1	2	1	1	2	3	2	3	5	5	2	5	3	5	1	1	5	Target
151.000000	10	6.30	-3.70	6	5	2	0	7	4	3	0	0	0	5	2	1	1	2	1	1	2	2	3	2	5	5	5	5	3	5	1	1	5	Target
150.000000	19	9.20	-3.70	6	5	5	1	3	4	3	0	0	0	5	2	1	1	2	1	1	2	5	3	4	3	2	5	2	3	1	3	1	3	Target
150.000000	21	8.00	-3.70	6	8	1	2	3	4	3	0	0	0	2	2	1	1	2	1	1	2	5	4	2	2	1	2	5	4	2	5	1	3	Target
149.000000	20	7.40	-3.70	7	5	4	2	2	4	3	0	0	0	3	2	1	1	2	1	1	2	5	3	4	3	2	5	2	3	1	4	1	1	Target
147.000000	16	8.70	-3.70	6	5	4	1	4	4	3	0	0	0	3	2	1	1	2	1	1	2	3	3	4	1	2	5	5	2	1	5	3	5	Target
146.000000	19	8.80	-3.70	7	4	5	1	3	4	3	0	0	0	3	2	1	1	2	1	1	2	5	3	5	1	5	2	4	3	1	3	1	3	Target
146.000000	19	7.00	-3.70	6	5	5	1	3	4	3	0	0	0	3	2	1	1	2	1	1	2	5	3	5	1	5	2	4	3	1	3	3	2	Target
142.000000	19	11.80	-3.70	8	4	2	1	5	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	5	1	5	2	5	3	4	1	1	1	Target
142.000000	13	10.30	-3.70	5	4	4	0	7	4	3	0	0	0	3	2	1	1	2	1	1	2	5	3	5	1	5	2	5	3	5	3	5	5	Target
141.000000	17	6.04	-3.70	6	6	1	3	4	4	3	0	0	0	5	2	1	1	2	1	1	2	5	4	4	1	2	2	4	2	3	1	5	5	Target
140.000000	7	7.30	-3.70	7	3	3	0	7	4	3	0	0	0	3	2	1	1	2	1	1	2	5	3	5	1	5	5	5	3	5	1	1	5	Target
140.000000	7	15.80	-3.70	6	4	2	0	8	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	5	1	5	2	5	3	5	5	1	5	Target
162.000000	19	6.40	-0.50	5	10	2	1	2	3	4	0	0	0	2	1	1	2	2	2	1	2	2	5	2	1	5	4	1	3	2	2	3	2	Target
162.000000	19	-7.10	-3.70	8	6	2	1	3	4	3	0	0	0	5	2	1	1	2	1	1	2	2	2	5	1	5	2	4	3	1	1	1	3	Target
158.000000	19	6.90	-3.70	7	6	3	1	3	4	3	0	0	0	5	2	1	1	2	1	1	2	5	5	4	1	2	2	2	3	1	3	1	3	Target
155.000000	17	10.30	-3.70	7	7	1	0	5	4	2	0	0	1	5	5	1	1	2	1	1	2	2	2	2	1	2	2	5	3	5	1	1	5	Target
155.000000	16	5.00	-3.70	5	9	0	1	5	4	3	0	0	0	2	2	1	1	2	1	1	2	2	2	5	4	1	2	5	2	2	5	5	5	Target
150.000000	19	4.90	-3.70	7	5	3	1	4	4	3	0	0	0	5	2	1	1	2	1	1	2	5	5	4	1	2	2	5	3	1	3	1	3	Target
149.000000	19	5.60	-3.70	5	9	1	2	3	4	3	0	0	0	2	2	1	1	2	1	1	2	2	3	4	4	2	2	5	2	5	1	5	2	Target
149.000000	19	5.10	-3.70	5	9	1	2	3	4	3	0	0	0	2	2	1	1	2	1	1	2	2	4	4	3	2	5	2	2	5	5	1	2	Target
146.000000	9	7.40	-3.70	4	4	2	0	10	4	3	0	0	0	5	2	1	1	2	1	1	2	2	3	5	5	5	5	5	3	5	5	5	5	Target
146.000000	17	12.60	-3.70	6	5	1	0	8	4	3	0	0	0	5	2	1	1	2	1	1	2	5	2	5	5	5	2	5	3	1	1	5	5	Target
144.000000	11	8.10	-3.70	7	4	2	0	7	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	2	1	5	5	5	3	5	1	1	5	Target
143.000000	18	6.10	-3.70	7	5	1	0	7	4	3	0	0	0	2	2	1	1	2	1	1	2	5	5	5	1	2	5	5	3	5	1	1	5	Target
143.000000	18	14.70	-3.70	6	5	2	0	7	4	3	0	0	0	3	2	1	1	2	1	1	2	5	5	2	5	5	2	5	3	5	1	1	5	Target
141.000000	8	10.60	-3.70	5	3	3	0	9	4	3	0	0	0	5	2	1	1	2	1	1	2	3	5	3	5	5	5	5	3	5	1	5	5	Target
140.000000	7	6.30	-3.70	7	4	1	0	8	4	3	0	0	0	2	2	1	1	2	1	1	2	5	5	5	1	5	5	5	3	5	1	1	5	Target
140.000000	7	7.20	-3.70	6	3	2	0	9	4	3	0	0	0	5	2	1	1	2	1	1	2	5	3	5	5	5	5	5	3	1	5	1	5	Target
140.000000	7	7.80	-3.70	6	3	2	0	9	4	3	0	0	0	5	2	1	1	2	1	1	2	5	3	5	1	5	5	5	3	5	1	5	5	Target
154.000000	22	-7.20	-3.70	5	10	0	3	2	4	3	0	0	0	2	2	1	1	2	1	1	2	2	4	2	2	1	4	4	2	5	2	2	5	Target
149.000000	19	5.00	-3.70	5	9	1	2	3	4	3	0	0	0	2	2	1	1	2	1	1	2	5	2	4	4	2	5	2	2	5	1	3	2	Target
160.000000	21	17.10	-2.50	9	3	4	1	3	5	2	0	0	0	5	1	1	1	2	1	2	1	3	5	1	3	4	2	1	5	3	1	1	3	Target
155.000000	22	6.70	-2.50	7	6	1	2	4	5	2	0	0	0	5	1	1	1	2	1	2	1	2	5	4	1	2	4	2	5	5	1	2	3	Target
145.000000	20	9.42	-2.50	7	4	4	2	3	5	2	0	0	0	5	1	1	1	2	1	2	1	3	3	4	1	3	2	5	4	1	2	5	3	Target
150.000000	20	7.00	-2.50	7	5	2	2	4	5	2	0	0	0	5	1	1	1	2	1	2	1	2	5	2	4	4	3	2	1	5	5	3	1	Target
147.000000	23	4.00	-2.50	7	4	2	4	3	5	2	0	0	0	5	1	1	1	2	1	2	1	4	4	4	4	2	1	3	5	5	3	1	2	Target
156.000000	19	4.10	-2.50	6	9	2	2	1	5	2	0	0	0	2	1	1	1	2	1	2	1	2	4	2	2	2	4	1	5	3	3	2	2	Target
151.000000	21	11.00	-0.30	10	3	2	2	3	5	2	0	0	0	1	1	1	2	1	1	2	1	4	4	3	1	3	2	1	1	5	5	5	1	Target
143.000000	10	4.40	-3.00	4	4	3	0	9	3	4	0	0	0	5	2	2	1	2	1	1	2	3	5	1	5	5	5	5	5	5	3	5	3	Target
140.000000	7	5.70	-3.00	5	4	0	0	11	3	4	0	0	0	5	2	2	1	2	1	1	2	5	5	5	5	1	5	5	5	5	5	5	1	Target
143.000000	10	4.40	-3.00	4	4	3	0	9	3	4	0	0	0	5	2	2	1	2	1	1	2	3	5	1	5	5	5	5	5	5	3	5	3	Target
140.000000	7	5.70	-3.00	5	4	0	0	11	3	4	0	0	0	5	2	2	1	2	1	1	2	5	5	5	5	1	5	5	5	5	5	5	1	Target
148.000000	13	6.20	-3.00	4	7	2	1	6	3	4	0	0	0	5	2	2	1	2	1	1	2	4	2	5	1	2	2	5	5	5	3	5	3	Target
146.000000	20	6.70	-3.00	3	7	5	2	3	3	4	0	0	0	5	2	2	1	2	1	1	2	3	5	4	4	2	2	3	2	3	3	3	5	Target
143.000000	20	15.90	-6.40	7	6	4	1	2	3	3	1	0	0	2	2	2	1	3	2	1	1	4	2	3	1	3	5	1	2	5	1	1	3	Target
